IndexNumber,Service_Month,Billing_Start_Dt,Billing_End_Dt,Billing_Days,Usage_KWH,MeanDailyHDD,MeanDailyCDD
0,2016-12-01,2016-11-30,2016-12-30,31,6300000.0,7.16129,2.290322
0,2017-01-01,2016-12-30,2017-01-31,33,6660000.0,6.545454,2.272727
0,2017-02-01,2017-01-31,2017-02-28,29,5760000.0,2.551724,3.37931
0,2017-03-01,2017-02-28,2017-03-31,32,6360000.0,2.0,5.125
0,2017-04-01,2017-03-31,2017-04-28,29,5880150.0,0.241379,7.655172
0,2017-05-01,2017-04-28,2017-05-31,34,6720000.0,0.029411,10.117647
0,2017-06-01,2017-05-31,2017-06-30,31,6600000.0,0.0,16.129032
0,2017-07-01,2017-06-30,2017-07-31,32,6600000.0,0.0,19.15625
0,2017-08-01,2017-07-31,2017-08-31,32,6900000.0,0.0,17.8125
0,2017-09-01,2017-08-29,2017-09-29,32,5640000.0,0.0,14.84375
0,2017-10-01,2017-09-29,2017-10-31,33,4320000.0,1.090909,9.939393
0,2017-11-01,2017-10-31,2017-11-30,31,4642602.0,3.064516,4.258064
0,2017-12-01,2017-11-30,2018-01-02,34,6360000.0,12.147058,1.117647
0,2018-01-01,2018-01-02,2018-01-31,30,6540000.0,15.5,0.066666
0,2018-02-01,2018-01-31,2018-02-28,29,5940000.0,4.068965,3.965517
0,2018-03-01,2018-02-28,2018-03-30,31,6240000.0,2.48387,4.290322
0,2018-04-01,2018-03-30,2018-04-30,32,6300000.0,1.625,2.96875
0,2018-05-01,2018-04-30,2018-05-31,32,6360000.0,0.0,14.5
0,2018-06-01,2018-05-31,2018-06-29,30,6360000.0,0.0,18.533333
0,2018-07-01,2018-06-29,2018-07-31,33,7140000.0,0.0,18.969696
0,2018-08-01,2018-07-31,2018-08-30,31,6840000.0,0.0,18.48387
0,2018-09-01,2018-08-30,2018-10-01,33,6540000.0,0.0,16.60606
0,2018-10-01,2018-09-28,2018-10-31,34,7200000.0,0.352941,9.323529
0,2018-11-01,2018-10-31,2018-11-29,30,6120000.0,7.7,1.833333
0,2018-12-01,2018-11-29,2019-01-02,35,6420000.0,8.685714,0.342857
0,2019-01-01,2019-01-02,2019-01-31,30,5700000.0,12.533333,0.1
0,2019-02-01,2019-01-31,2019-03-01,30,5760000.0,5.466666,0.733333
0,2019-03-01,2019-03-01,2019-04-05,36,6360000.0,5.166666,1.861111
0,2019-04-01,2019-04-02,2019-05-01,30,7080000.0,0.966666,5.266666
0,2019-05-01,2019-05-01,2019-05-30,30,6960000.0,0.0,13.066666
0,2019-06-01,2019-05-30,2019-06-28,30,5580000.0,0.0,16.7
0,2019-07-01,2019-06-28,2019-07-31,34,7140000.0,0.0,17.470588
0,2019-08-01,2019-07-31,2019-08-30,31,7020000.0,0.0,19.548387
0,2019-09-01,2019-08-30,2019-09-30,32,7020000.0,0.0,18.34375
0,2019-10-01,2019-09-30,2019-10-31,32,2700000.0,1.15625,8.1875
0,2019-11-01,2019-10-31,2019-11-29,30,4380000.0,8.266666,1.433333
